DCPLX,CCPLX,ICPLX,DATA,REUSE,DOCU,OI,OCAP,DECAP,OEXP,DEEXP,PCON,LEXP,TEXP,TOOL,SITE,SCED,A,Size,Actual Effort
1,1,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.719682111,1.5
1,1.287073001,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.854986149,1.5
1,1.103337246,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.706391665,1
1,1.103337246,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.801531166,1.5
1,1,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.710633132,1
1,1.287073001,0.890523518,1.39,0.884676997,1.148700682,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.808209794,1.5
1,1,0.890523518,1.39,0.884676997,1.148700682,0.642950976,1.11367768,1.11367768,1,1,0.9955783,1.132516935,1.132516935,1,1,1,4.174719623,0.726298321,1.5
1,1,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.626619977,1
1,1,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.750578508,1.5
1,1,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.751340373,1.5
1,1.287073001,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.852041443,1.5
1,1.287073001,0.890523518,1.39,0.884676997,1,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.877001948,1.5
1,1.287073001,0.890523518,1.39,0.884676997,1.148700682,0.642950976,1,1,0.959040589,0.959040589,0.9955783,0.968706235,0.968706235,1,1,1,4.174719623,0.816021334,1.5
1,0.552483495,1.090270766,1.39,1.105883396,1,1.07887971,1,1,0.976362593,0.976362593,0.9878745,0.968706235,0.968706235,1,1.054312502,1,4.174719623,1.010458293,5
1.267815018,0.8826015,1.090270766,1.39,0.564513468,1,1.07887971,1.11367768,1.11367768,1,1,0.9878745,1,1,1,1.054312502,1,4.174719623,0.777479288,7.5
1.267815018,1.287073001,1.090270766,1.39,1.105883396,1,1.07887971,1.11367768,1.11367768,1.036836755,1.036836755,0.9955783,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.837611416,7.5
0.735230822,1,0.890523518,1.39,1.105883396,1.283439039,1.22444782,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,0.605525131,6
1.538072016,1,1.090270766,1.39,0.884676997,1,1,1,1,1,1,0.9878745,1.046267153,1.046267153,1,1.054312502,1,4.174719623,0.833035245,8
1.267815018,1.103337246,1,1.39,1,1,1,1,1,1.119451299,1.119451299,0.9955783,1,1,1,1,1,4.174719623,1.208751402,24
1.267815018,1,0.74622904,1.39,1,1,1.07887971,1.11367768,1.11367768,1.036836755,1.036836755,0.9955783,1,1,1,1,1,4.174719623,1.008329834,6
0.735230822,1,0.890523518,1.39,1,1.283439039,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,0.968706235,0.968706235,1,1.054312502,1,4.174719623,0.67170526,1.25
0.735230822,1,0.890523518,1.39,1.105883396,1.283439039,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,0.968706235,0.968706235,1,1.054312502,1,4.174719623,0.697447128,1.5
0.735230822,1,0.890523518,1.39,0.884676997,1.283439039,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,0.591717147,1
0.735230822,1,0.890523518,1.39,1,1.283439039,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,0.697447128,1
0.735230822,1,0.890523518,1.39,1,1,1,1.11367768,1.11367768,1.036836755,1.036836755,0.9878745,1,1,1,1.054312502,1,4.174719623,0.774315433,0.75
